SITE,PLATFORM,Network,Array,GDAC,WMO_ID,ORIG_DESC_YYYYMM,UPDATE_PI_EMAIL,UPDATE_DATE_YYYYMM,SITE_DESCRIPTION,LAT,LON,TYPE,OCEAN,STATUS,DATA_TYPE,PHYS,MET,GEOPHYS,BGCHEM,CO2,FLUX,AirSeaFlux_Ref,COUNTRY,AGENCY,JCOMMOPS_PROGRAM,INFOURL,DATAURL,MetadataURL,PI,EMAILS,MISC,Observatory_or_Project,DAC,DataManager,DataManagementAgency
BATS,BATS-1,,BERMUDA,(NDBC),NY,200608,Michael.Lomas@bios.edu,200901,BATS,31.667,-64.167,observatory,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,1,1,1,1,1,1,BERMUDA,BERMUDA-BIOS,,http://bats.bios.edu,http://bats.bios.edu,,Knap;Lomas,tony.knap@bios.edu;Michael.Lomas@bios.edu;Jerome.Aucan@bios.edu;Rod.Johnson@bios.edu,"biological, ecological",BERMUDA,-,-,-
BATS,BHYDROS,,BERMUDA,(NDBC),NY,200608,jerome.aucan@bios.edu,200901,BATS Hydostation S,32.167,-64.500,observatory,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,1,1,1,1,1,1,BERMUDA,BERMUDA-BIOS,,http://bats.bios.edu,http://bats.bios.edu,,Knap;Lomas;Aucan,tony.knap@bios.edu;Michael.Lomas@bios.edu;Jerome.Aucan@bios.edu;Rod.Johnson@bios.edu,"biological, ecological",BERMUDA,CCHDO (PLANNED),sdiggs@ucsd.edu ,BIOS
BTM,BTM-1,,BERMUDA,(NDBC),-,200608,tommy.dickey@opl.ucsb.edu,200608,BTM,31.720,-64.170,surface,Atlantic,DISCONTINUED,Delayed Mode Data; Not Accessible,1,1,,1,1,1,,USA,USA-UCSB,,http://www.opl.ucsb.edu,http://www.opl.ucsb.edu/data.html,,Dickey;Sabine,tommy.dickey@opl.ucsb.edu,"Discontinued, ecological",BERMUDA,NDBC (PLANNED),bill.burnett@noaa.gov,UCSB
OFP,OFP-1,,BERMUDA, -,NY,200608,mconte@mbl.edu,200901,Ocean Flux Program,31.830,-64.170,subsurface,Atlantic,OPERATING,Delayed Mode Data; Accessible,,,,1,,,,USA,USA-MBL,,http://www.bios.edu/research/OFP.html, - ,,Conte;Weber,mconte@mbl.edu;jweber@mbl.edu,sediment trap,BERMUDA,-,-,-
CAPEBLANC,CAPEBLANC,,, -, -,200503,gbudeus@awi-bremerhaven.de, - ,Cape Blanc,21.280,-20.800,subsurface,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,,,,1,,,,GERMANY,GERMANY-AWI,,http://www.rcom-bremen.de, - ,,Meinecke (Uni Bremen),gmeinecke@marum.de,,CAPEBLANC,-,-,-
CLIMODE,GSORS,,GULF STREAM,(NDBC),NY,200502,rweller@whoi.edu,200906,Gulf Stream Ocean Reference Station,38.500,-65.000,surface,Atlantic,PLANNED,Real Time & Delayed Mode Data; Accessible soon,1,1,,,,1,,USA,USA-WHOI,,http://www.climode.org,http://uop.whoi.edu/projects/CLIMODE/climode/data.htm,,Weller (WHOI),rweller@whoi.edu,Was CLIMODE/Gulf Stream extension ,CLIMODE,-,-,-
 - , - ,,DAVISSTRAIT, -, - ,200503,craig@apl.washington.edu, - ,Davis Strait:1,66.500,-62.000,transport,Atlantic,DISCONTINUED,Delayed Mode Data; Not Accessible,1,,,,,,,USA,USA-UNIVWASHINGTON,,http://iop.apl.washington.edu, - ,,Lee,craig@apl.washington.edu,,DAVISTRAIT,-,-,-
 - , - ,,DAVISSTRAIT, -, - ,200503,craig@apl.washington.edu, - ,Davis Strait:2,67.500,-54.000,transport,Atlantic,DISCONTINUED,Delayed Mode Data; Not Accessible,1,,,,,,,USA,USA-UNIVWASHINGTON,,http://iop.apl.washington.edu, - ,,Lee,craig@apl.washington.edu,,DAVISTRAIT,-,-,-
DENMARKSTOF-A,DENMARKSTOFT-A,,DENMARKSTRAIT, -, - ,200604,quadfasel@ifm.uni-hamburg.de,200604,Denmark Strait overflow:2,66.083,-27.090,transport,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,,,,,USA,GERMANY/ICELAND,,http://www.ifm-geomar.de/index.php?id=1206&L=1, - , - ,Macrander (AWI);quadfasel (IfM-HH);Valdimarsson (Iceland),amacrander@awi-bremerhaven.de;quadfasel@ifm.uni-hamburg.de;detlef.quadfasel@zmaw.de;hv@hafro.is,Annual Data ,DENMARKSTRAIT,-,-,-
DENMARKSTOF-B,DENMARKSTOFT-B,,DENMARKSTRAIT, -,NY,200604,quadfasel@ifm.uni-hamburg.de,200604,Denmark Strait overflow:1,66.120,-27.270,transport,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,,,,,USA,GERMANY/ICELAND,,http://www.ifm-geomar.de/index.php?id=1206&L=1, - , - ,Macrander (AWI);quadfasel (IfM-HH);Valdimarsson (Iceland),amacrander@awi-bremerhaven.de;quadfasel@ifm.uni-hamburg.de;detlef.quadfasel@zmaw.de;hv@hafro.is,Annual Data ,DENMARKSTRAIT,-,-,-
CIS,CIS-1,"EUROSITES, ANIMATE, MERSEA",IRMINGER SEA,IFREMER,44478,200602,jkarstensen@ifm-geomar.de,200812,"CIS, Central Irminger Sea",59.667,-39.667,observatory,Atlantic,OPERATING,Real Time & Delayed Mode Data; Accessible,1,,,1,1,,,USA,GERMANY-IFMGEOMAR,,http://www.eurosites.info/cis.php,http://www.eurosites.info/cis/data.php,ftp://ftp.ifremer.fr/ifremer/oceansites/EuroSITES/CIS/metadata/,Karstensen;Mueller,jkarstensen@ifm-geomar.de;tmueller@ifm-geomar.de,"Argos, future Iridium",EUROSITES,EUROSITES,mred@noc.soton.ac.uk,IFM-GEOMAR/NOCS
DYFAMED,DYFAMED,EUROSITES,,IFREMER, - ,200608,coppola@obs-vlfr.fr,200901,DYFAMED,43.420,7.867,observatory,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,1,,1,,,,USA,EU/France-IRD,,http://www.obs-vlfr.fr/sodyf,http://www.obs-vlfr.fr/dyfBase/,ftp://ftp.ifremer.fr/ifremer/oceansites/EuroSITES/DYFAMED/metadata/,Marty (LOV); Laurent Coppola (VLFR),coppola@obs-vlfr.fr,DYFAMED; project in progress MOOSE (Mediterranean Ocean Observing System on Environment),EUROSITES,EUROSITES,coppola@obs-vlfr.fr,VILLEFRANCHE
E1M3A,E1M3A,EUROSITES,,IFREMER,6101007,200608,knittis@hcmr.gr,200812,E1-M3A Cretan Sea (POSEIDON),35.660,24.930,observatory,Atlantic,OPERATING,Real Time & Delayed Mode Data; Accessible,1,1,,1,,1,1,USA,EU/GREECE-HCMR,,http://www.poseidon.hcmr.gr,http://www.poseidon.hcmr.gr/onlinedata.php,ftp://ftp.ifremer.fr/ifremer/oceansites/EuroSITES/E1M3A/metadata/,Kostas Nittis; George Petihakis ,knittis@hcmr.gr;pet@her.hcmr.gr,Previously 3 separate moorings,EUROSITES,EUROSITES,mred@noc.soton.ac.uk,M3A
E2M3A,E2M3A,EUROSITES,,(IFREMER),NY,200608,vcardin@ogs.trieste.it,200901,E2-M3A Adriatic Sea,41.833,17.757,observatory,Atlantic,OPERATING,Real Time & Delayed Mode Data; Accessible,1,1,,1,1,1,1,USA,EU/ITALY-OGSTrieste,,http://poseidon.ogs.trieste.it/eurosites,http://doga.ogs.trieste.it/boma_mfstep,ftp://ftp.ifremer.fr/ifremer/oceansites/EuroSITES/E2M3A/metadata/,Cardin,vcardin@ogs.trieste.it;fbrunetti@ogs.trieste.it,"2 moorings, physical and chemical data, current (ADCP and Aanderaa) data, meteo data measured at surface buoy  ",EUROSITES,EUROSITES,mred@noc.soton.ac.uk,M3A
ESTOC,ESTOC-1,"EUROSITES, ANIMATE, MERSEA",,IFREMER,13471,200503,andres@iccm.rcanaria.es,200907,"ESTOC, Canary Islands:0",29.000,-15.500,observatory,Atlantic,OPERATING,Real Time & Delayed Mode Data; Accessible,1,1,,1,1,,,USA,EU-RCANARIA,,http://www.eurosites.info/estoc.php,http://www.eurosites.info/estoc/data.php,ftp://ftp.ifremer.fr/ifremer/oceansites/EuroSITES/ESTOC/metadata/,Meinecke (Uni Bremen);Andres Cianca(Canaries);Marta De Herrera Nistal (Canaries),meinecke@ifm.uni-hamburg.de;andres@iccm.rcanaria.es;martanistal@iccm.rcanaria.es,,EUROSITES,EUROSITES,mred@noc.soton.ac.uk,NOCS
PAP,PAP-1,"EUROSITES, ANIMATE, MERSEA",,IFREMER,62442,200503,rsl@noc.soton.ac.uk,200901,"PAP, Porcupine Abyssal Plain:1",49.000,-16.500,observatory,Atlantic,OPERATING,Real Time & Delayed Mode Data; Accessible,1,1,,1,1,1,,UK,EU-NOCS,,http://www.eurosites.info,http://www.eurosites.info/pap/data.php,ftp://ftp.ifremer.fr/ifremer/oceansites/EuroSITES/PAP/metadata/,Lampitt (SOC),rsl@noc.soton.ac.uk;suh@noc.soton.ac.uk;kel1@noc.soton.ac.uk;mred@noc.soton.ac.uk,,EUROSITES,EUROSITES,mred@noc.soton.ac.uk,NOCS
STATION-M,STATION-M,EUROSITES,,IFREMER, - ,200504,ngfso@uib.no,200901,"OWS  M, Norwegian Sea",66.000,2.000,observatory,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,1,,1,,,,NORWAY,NORWAY,,http://www.eurosites.info,http://www.eurosites.info/stationm/data.php,ftp://ftp.ifremer.fr/ifremer/oceansites/EuroSITES/STATION-M/metadata/,Osterhus (Norway),svein.osterhus@gfi.uib.no;ngfso@uib.no,,EUROSITES,NORWAY (PLANNED),svein.osterhus@gfi.uib.no,Osterhus
TENATSO,TENATSO-ATMOS,EUROSITES,,(IFREMER),,200502,dwallace@ifm-geomar.de,200906,TENATSO Cape Verde Atmosphere,16.800,-24.900,observatory,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,,1,,1,,,,GERMANY,GERMANY/CAPEVERDE,,http://www.bgc-jena.mpg.de/bgc-systems/projects/cape_verde/index.shtml ,http://www.tenatso.com ,,Wallace (IFMGEOMAR);Martin Heimann (Jena),dwallace@ifm-geomar.de;jramos@ifm-geomar.de;carlos.santos@indp.cv;anibal.medina@indp.cv;,"Tropical Eastern North Atlantic Time-Series Observatory  (TENATSO). biological, atm. Chemistry",EUROSITES,EUROSITES (PLANNED),mred@noc.soton.ac.uk,-
TENATSO,TENATSO-OCEAN,EUROSITES,,(IFREMER),,200502,dwallace@ifm-geomar.de,200906,TENATSO Cape Verde Ocean Mooring,17.583,-24.250,observatory,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,1,1,,,GERMANY,GERMANY/CAPEVERDE,,http://www.tenatso.com,http://www.eurosites.info/tenatso/data.php,ftp://data.ndbc.noaa.gov/data/oceansites/TENATSO,Wallace (IFMGEOMAR);Joana Ramos ,dwallace@ifm-geomar.de;jramos@ifm-geomar.de;carlos.santos@indp.cv;anibal.medina@indp.cv;,"Tropical Eastern North Atlantic Time-Series Observatory  (TENATSO). biological, atm. Chemistry",EUROSITES,EUROSITES (PLANNED),mred@noc.soton.ac.uk,-
W1M3A,W1M3A,EUROSITES,,IFREMER,61010,200503,boz@ge.issia.cnr.it,200901,W1-M3A Ligurian Sea ODAS Italia 1,43.813,9.125,observatory,Atlantic,OPERATING,Real Time & Delayed Mode Data; Accessible,1,1,,,,1,1,EUROPE,EU/Italy-CNR,,http://www.odas.ge.issia.cnr.it,http://www.odas.ge.issia.cnr.it/Product/LastData.html,ftp://ftp.ifremer.fr/ifremer/oceansites/EuroSITES/W1M3A/metadata/,Bozzano (CNR/ISSIA); Elisabetta Schiano(CNR/ISM);Stefania Sparnocchia(CNR/ISM),boz@ge.issia.cnr.it;,,EUROSITES,EUROSITES,mred@noc.soton.ac.uk,M3A
HAUSGARTEN,HAUSGARTEN-1,,FRAMSTRAIT, -,NY,200906,michael.klages@awi.de, - ,Hausgarten,78.500,-4.000,subsurface,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,1,1,,,,GERMANY,NORWAY/GERMANY-AWI,,http://www.awi.de/en/go/deepsea,http://www.pangaea.de, - ,Michael Klages;,Michael.Klages@awi-bremerhaven.de,"ice, tomography, benthos. Funding until 2012 at least",FRAMSTRAIT,-,-,-
FRAMSTRAIT,FRAMSTRAIT-T1,,FRAMSTRAIT, -,NY,200609,efahrbach@awi-bremerhaven.de,200906,Fram Strait:1,78.500,9.000,transport,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,1,,,,NORWAY,NORWAY/GERMANY-AWI,,http://acobar.nersc.no/,http://arctic-roos.org/,http://www.pangaea.de/about/,Fahrbach (AWI);E Hansen (NPI);  Stein Sandven  (NERSC),efahrbach@awi-bremerhaven.de;edmond.hansen@npolar.no;stein.sandven@nersc.no;Gerd.Rohardt@awi.de;,"ice, tomography, benthos",FRAMSTRAIT,-,-,-
FRAMSTRAIT,FRAMSTRAIT-T2,,FRAMSTRAIT, -,NY,200609,efahrbach@awi-bremerhaven.de,200906,Fram Strait:2,78.500,-7.000,transport,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,1,,,,NORWAY,NORWAY/GERMANY-AWI,,http://acobar.nersc.no/,http://arctic-roos.org/,http://www.pangaea.de/about/,Fahrbach (AWI);E Hansen (NPI);  Stein Sandven  (NERSC),efahrbach@awi-bremerhaven.de;edmond.hansen@npolar.no;stein.sandven@nersc.no;Gerd.Rohardt@awi.de;,"ice, tomography, benthos",FRAMSTRAIT,-,-,-
LOCO-IRMINGSEA,IRMINGSEA-1,LOCO,IRMINGER SEA,(IFREMER), - ,200503,aken@nioz.nl, - ,Irminger Sea,59.000,-40.000,subsurface,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,1,,,,USA,LOCO,,http://www.nio.nl/fys,http://www.nioz.nl/dmg,,van Aken,aken@nioz.nl,,IRMINGER,-,-,-
OOI-IRMINGERSEA,OOI-IRMINGERSEA-1,OOI,IRMINGER SEA, -,NY, - ,usend@ucsd.edu, -,"Ocean Observatories Initiative, Irminger Sea, SE of Greenland",60.000,-39.000,observatory,Atlantic,PLANNED,Real Time & Delayed Mode Data; Accessible soon,1,1,1,1,1,1,1,USA,USA- NSF/WHOI/SIO/OSU,,http://www.whoi.edu/page.do?pid=22317, - ,,Weller; Send; Plueddemann,rweller@whoi.edu;aplueddemann@whoi.edu;usend@ucsd.edu,"Depth 2800m, Acoustically Linked Surface Mooring with Subsurface Profiler Mooring and Mesoscale Flanking Mooring Pair",OOI,-,-,-
STHIRMINGER,STHIRMINGER,,IRMINGER SEA, -, -,200503,nhogg@whoi.edu, - ,S Irminger Sea,59.590,-38.580,subsurface,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,,,,,USA,USA-WHOI,,http://www.whoi.edu/science/AOPE/ael/ultramoor, - ,,Pickart (WHOI); Hogg (WHOI),rpickart@whoi.edu;nhogg@whoi.edu,,IRMINGER,-,-,-
K276,K276-1,,,(IFREMER),NY,200608,tmueller@ifm-geomar.de,200901,Keil 276 (Azores Front Madeira),33.000,-22.000,subsurface,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,1,,,,GERMANY,GERMANY-IFMGEOMAR,,http://www.ifm-geomar.de/,http://www.ifm-geomar.de/,,Müller (IFMGEOMAR),tmueller@ifm-geomar.de,"Depth 5280mm, moored sensors; cross-frontal vmADCP and CTD/rosette casts during mooring services ",KIEL276,-,-,-
LABSEAEXP-3,LABSEAEXP-3,LABSEAEXP,LABRADOR SEA, -, - ,200503,jfischer@ifm-geomar.de,200906,Labrador Sea export,53.000,-51.000,subsurface,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,,,,,GERMANY,GERMANY-IFMGEOMAR,,http://www.ifm-geomar.de/, - ,www.ifm-geomar.de ,Fischer (IFMGEOMAR),jfischer@ifm-geomar.de,"convection, water mass variablity - Current Meters, Seacats, microcats.",LABSEAEXP,-,-,-
LABSEAEXP-4,LABSEAEXP-4,LABSEAEXP,LABRADOR SEA, -, - ,200503,jfischer@ifm-geomar.de,200907,Labrador Sea export,56.627,-52.613,subsurface,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,,,,,GERMANY,GERMANY-IFMGEOMAR,,http://www.ifm-geomar.de/, - ,www.ifm-geomar.de ,Fischer (IFMGEOMAR),jfischer@ifm-geomar.de,"convection, water mass variablity - Current Meters, Seacats, microcats.",LABSEAEXP,-,-,-
LABSEA-T-1,LABSEA-T1,LABSEAEXP,LABRADOR SEA, -, - ,200503,jfischer@ifm-geomar.de,200906,Labrador Sea export:1,56.530,-52.650,transport,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,,,,,GERMANY,GERMANY-IFMGEOMAR,,http://www.ifm-geomar.de/, - ,www.ifm-geomar.de ,Fischer (IFMGEOMAR),jfischer@ifm-geomar.de,"convection, water mass variablity - Current Meters, Seacats, microcats.",LABSEAEXP,-,-,-
LABSEA-T-2,LABSEA-T2,LABSEAEXP,LABRADOR SEA, -, - ,200503,jfischer@ifm-geomar.de,200906,Labrador Sea export:2,55.450,-53.730,transport,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,,,,,GERMANY,GERMANY-IFMGEOMAR,,http://www.ifm-geomar.de/, - ,www.ifm-geomar.de ,Fischer (IFMGEOMAR),jfischer@ifm-geomar.de,"convection, water mass variablity - Current Meters, Seacats, microcats.",LABSEAEXP,-,-,-
MOVE1,MOVE1,MOVE,TROPICAL ATLANTIC,NDBC,-, - ,usend@ucsd.edu,200903,MOVE1,15.450,-51.500,subsurface,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,USA,SIO,,http://mooring.ucsd.edu/projects/move/move_intro.html,ftp://ftp.ifremer.fr/ifremer/oceansites/MOVE,ftp://ftp.ifremer.fr/ifremer/oceansites/MOVE/metadata,Send; Begler; Lankhorst,usend@ucsd.edu;mlankhorst@ucsd.edu;cbegler@ucsd.edu,Was previously called v404. Meridional Overturning Variability Experiment. Includes MOVE1P Platform pressure inverted echosounder (PIES),MOVE,NDBC,mlankhorst@ucsd.edu,SIO/IFM-GEOMAR
MOVE2,MOVE2,MOVE,TROPICAL ATLANTIC,(IFREMER), - , - ,usend@ucsd.edu,200903,MOVE2,15.933,-57.000,subsurface,Atlantic,DISCONTINUED,Delayed Mode Data; Accessible soon,1,,,,,,,USA,SIO,,http://mooring.ucsd.edu/projects/move/move_intro.html,ftp://ftp.ifremer.fr/ifremer/oceansites/MOVE,ftp://ftp.ifremer.fr/ifremer/oceansites/MOVE/metadata,Send; Begler; Lankhorst,usend@ucsd.edu;mlankhorst@ucsd.edu;cbegler@ucsd.edu,"Was previously called v405. Site discontinued, but existing data to be published in OceanSITES. Included MOVE2P Platformpressure inverted echosounder  (PIES)",MOVE,NDBC,mlankhorst@ucsd.edu,SIO/IFM-GEOMAR
MOVE3,MOVE3,MOVE,TROPICAL ATLANTIC,(IFREMER), - , - ,usend@ucsd.edu,200903,MOVE3,16.333,-60.500,subsurface,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,USA,SIO,,http://mooring.ucsd.edu/projects/move/move_intro.html,ftp://ftp.ifremer.fr/ifremer/oceansites/MOVE,ftp://ftp.ifremer.fr/ifremer/oceansites/MOVE/metadata,Send; Begler; Lankhorst,usend@ucsd.edu;mlankhorst@ucsd.edu;cbegler@ucsd.edu,Was previously called v406. Meridional Overturning Variability Experiment. Includes MOVE3P Platform pressure inverted echosounder  (PIES),MOVE,NDBC,mlankhorst@ucsd.edu,SIO/IFM-GEOMAR
MOVE4,MOVE4,MOVE,TROPICAL ATLANTIC, -, - , - ,usend@ucsd.edu,200903,MOVE4,16.333,-60.617,subsurface,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,USA,SIO,,http://mooring.ucsd.edu/projects/move/move_intro.html,ftp://ftp.ifremer.fr/ifremer/oceansites/MOVE,ftp://ftp.ifremer.fr/ifremer/oceansites/MOVE/metadata,Send; Begler; Lankhorst,usend@ucsd.edu;mlankhorst@ucsd.edu;cbegler@ucsd.edu,Was previously called v407. Meridional Overturning Variability Experiment. ,MOVE,NDBC,mlankhorst@ucsd.edu,SIO/IFM-GEOMAR
MOVE5,MOVE5,MOVE,TROPICAL ATLANTIC, -, - , - ,usend@ucsd.edu,200903,MOVE5,16.333,-60.733,subsurface,Atlantic,DISCONTINUED,Delayed Mode Data; Accessible soon,1,,,,,,,USA,SIO,,http://mooring.ucsd.edu/projects/move/move_intro.html,ftp://ftp.ifremer.fr/ifremer/oceansites/MOVE,ftp://ftp.ifremer.fr/ifremer/oceansites/MOVE/metadata,Send; Begler; Lankhorst,usend@ucsd.edu;mlankhorst@ucsd.edu;cbegler@ucsd.edu,,MOVE,NDBC,mlankhorst@ucsd.edu,SIO/IFM-GEOMAR
MOVE6,MOVE6,MOVE,TROPICAL ATLANTIC, -, - , - ,usend@ucsd.edu,200903,MOVE6,20.600,-56.683,subsurface,Atlantic,DISCONTINUED,Delayed Mode Data; Accessible soon,1,,,,,,,USA,SIO,,http://mooring.ucsd.edu/projects/move/move_intro.html,ftp://ftp.ifremer.fr/ifremer/oceansites/MOVE,ftp://ftp.ifremer.fr/ifremer/oceansites/MOVE/metadata,Send; Begler; Lankhorst,usend@ucsd.edu;mlankhorst@ucsd.edu;cbegler@ucsd.edu,,MOVE,-,-,-
MOVE7,MOVE7,MOVE,TROPICAL ATLANTIC, -, - , - ,usend@ucsd.edu,200903,MOVE7,12.250,-57.200,subsurface,Atlantic,DISCONTINUED,Delayed Mode Data; Accessible soon,1,,,,,,,USA,SIO,,http://mooring.ucsd.edu/projects/move/move_intro.html,ftp://ftp.ifremer.fr/ifremer/oceansites/MOVE,ftp://ftp.ifremer.fr/ifremer/oceansites/MOVE/metadata,Send; Begler; Lankhorst,usend@ucsd.edu;mlankhorst@ucsd.edu;cbegler@ucsd.edu,,MOVE,-,-,-
NTAS,NTAS,,TROPICAL ATLANTIC,NDBC,48401,200608,aplueddemann@whoi.edu,200901,NTAS (Northwest Tropical Atlantic Station),15.000,-51.000,surface,Atlantic,OPERATING,Real Time & Delayed Mode Data; Accessible,1,1,,,,1,1,USA,USA-WHOI,,http://uop.whoi.edu/projects/NTAS/ntas.htm,http://uop.whoi.edu/projects/NTAS/ntasdata.htm,http://www.marinemetadata.org,Plueddemann(WHOI),aplueddemann@whoi.edu,,NTAS,WHOI,ngalbraith@whoi.edu,WHOI
